Company ID,Company,Company Legal Name,Competitors,Description,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Company Financing Status,Total Raised,Business Status,Ownership Status,Universe,Employees,Exchange,Ticker,Year Founded,Last Updated Date,Parent Company,HQ Country,HQ Location,Last Known Valuation,Last Known Valuation Date,Last Known Valuation Deal Type,Last Financing Date,Last Financing Size,Last Financing Size Status,Last Financing Valuation,Last Financing Valuation Status,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Deal Class,Last Financing Debt Date,Last Financing Status,Last Financing Debt Size,Last Financing Debt,First Financing Date,First Financing Size,First Financing Size Status,First Financing Deal Type,First Financing Valuation,First Financing Valuation Status,First Financing Deal Type 2,First Financing Deal Class,First Financing Status,First Financing Debt,Revenue,Revenue Growth %,Net Income,Net Debt,Market Cap,Gross Profit,Enterprise Value,EBITDA,EBIT,Total Patent Document,Total Patent Families,Active Patent Document,Pending Patent Document,Patent Expiering the Next Year,Inactive Family Documents,Top CPC Codes,Total Clinical Trials,Acquirers,#Active Investors,Active Investors,Financing Status Notes,Former Investors,Other Investors
234048-88,89bio (NAS: ETNB),"89bio, Inc.","Akero Therapeutics, CymaBay Therapeutics, Astria Therapeutics, Altimmune, Galectin Therapeutics, Adicet Bio, aTyr Pharma, Clementia Pharmaceuticals, Athenex, Sagimet Biosciences, NGM Biopharmaceuticals, Intercept Pharmaceuticals, ARMO BioSciences, Metacrine, Ultragenyx Pharmaceutical, Sutro Biopharma, Amgen, Blade Therapeutics, Strongbridge Biopharma, Gilead Sciences, Petra Pharma, Lixte Biotechnology Holdings, OncoMed Pharmaceuticals, Cidara Therapeutics, Biogen, Madrigal Pharmaceuticals, Viamet Pharmaceuticals Holdings, Rheos Medicines, Celgene, Predictive Biosciences, Auspex Pharmaceuticals, vTv Therapeutics, Genfit, Genentech, Biosplice Therapeutics, Scynexis, Cirius Therapeutics, Boehringer Ingelheim, Allogene Therapeutics, Hyperion Therapeutics, InterMune, Iconic Therapeutics, Amplyx Pharmaceuticals, Pfizer Pakistan","89bio Inc is a United States-based clinical-stage biopharmaceutical company focused on the development and commercialization of therapies for the treatment of liver and cardio-metabolic diseases. Its product candidate, pegozafermin (previously BIO89-100), a specifically engineered glycoPEGylated analog of fibroblast growth factor 21 (FGF21), is currently being developed for the treatment of nonalcoholic steatohepatitis (NASH) and for the treatment of severe hypertriglyceridemia (SHTG).",Healthcare,Pharmaceuticals and Biotechnology,Drug Discovery,"Biotechnology, Drug Discovery*","Life Sciences, LOHAS & Wellness","biologics, healthcare innovation, healthcare research, liver treatment programs, medical innovation, medical research, peptides, pharmaceutical, protein",Formerly VC-backed,981.44,Generating Revenue/Not Profitable,Publicly Held,"Publicly Listed, Venture Capital",93,NAS,ETNB,2018,2025-04-26,,United States,"San Francisco, CA",207.89,2019-11-11,IPO,2025-01-29,287.0,Actual,,,Public Investment 2nd Offering,,Public Investment,2025-01-29,Completed,,,2018-10-25,60.0,Actual,Early Stage VC,,,Series A,Venture Capital,Completed,,0.0,0.0,-367.08,-402.41,1013.13,,533.29,-384.62,-384.66,83,11,55,23,5,5,"Heterocyclic compounds, Peptides, Preparations for medical, dental or toiletry purposes, Specific therapeutic activity of chemical compounds or medicinal preparations, Sugars",7,,,,"The company raised $189.63 million in its second public offering on the Nasdaq stock exchange under the ticker symbol of ETNB on January 29, 2025. A total of 21,671,428 shares (including the over-allotment option) were sold at $8.75 per share. The underwriters were granted an option to purchase up to an additional 4,285,714 shares from the company to cover over-allotments, if any. Previously, the company raised $125 million in its second public offering on the Nasdaq Stock Exchange under the ticker symbol of ETNB on November 13, 2024. A total of 11,455,882 shares were sold at $8.5 per share. The underwriters were granted an option to purchase up to an additional 2,205,882 shares from the company to cover over-allotments, if any.","Longitude Capital, OrbiMed, Pontifax Venture Capital, RA Capital Management, Teva Pharmaceutical Industries, Venrock",
228212-83,A2Z Cust2Mate Solutions (NAS: AZ),A2Z Cust2Mate Solutions Corp.,,"A2Z Cust2Mate Solutions Corp is engaged in creating shopping carts. With the help of a user-friendly smart algorithm, touch screen, and other technologies, the company streamlines the retail shopping experience by scanning purchased products and enabling in-cart payment so that customers can simply pick & go, and bypass long cashier checkout lines.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Government, Other Retail",,"automotive industry, defense products, electronics technology, military product, retail, shopping app, software developer, unmanned robotic systems",Corporation,75.22,Generating Revenue,Publicly Held,"M&A, Publicly Listed",89,NAS,AZ,2018,2025-04-26,,Israel,"Tel Aviv, Israel",,,,2024-12-12,12.46,Estimated,,,PIPE,,Corporate,2024-12-12,Announced/In Progress,,,2019-12-12,0.15,Actual,Reverse Merger,,,,Corporate,Completed,,7.17,-0.37,-17.0,-12.34,256.34,1.99,186.87,-18.35,-19.22,,,,,,,,,,2,"Clal Insurance Enterprises Holdings, ECC Ventures 1","The company (NAS: AZ) is in talks to receive approximately $12.46 million of development capital from undisclosed investors through a private placement as of December 12, 2024. The net proceeds will be used for continued development and expansion of existing business, including fulfillment of contracted smart cart backlog orders and acceleration of the onboarding process for new clients, and for working capital purposes. Previously, the company (NAS: AZ) received $2.40 million of development capital from undisclosed investors on August 12, 2024, through a private placement. The company is being actively tracked by PitchBook.",,
12867-40,Actelis Networks (NAS: ASNS),"Actelis Networks, Inc.","Extreme Networks, Adtran, FiberLight, COMLINK, Belden, Etherwan Systems, Call One, Telarus, Interop Technologies, Lumen Technologies, Nitel, Moxa, Overture Networks, Inteliquent","Actelis Networks Inc is a networking solutions company with a mission to enable communication for Internet of Things, or IoT, projects, deployed over wide areas such as cities, campuses, airports, military bases, roads, and rail. Its networking solutions use a combination of newly deployed fiber infrastructure and existing copper and coaxial lines to create a cost-effective, secure, and quick-to-deploy network. Its solutions also offer end-to-end network security to protect critical IoT data, utilizing a powerful combination of coding and encryption technologies, applied as required on both new and existing infrastructure within the hybrid-fiber-copper network. The company operates as one operating segment: developing and marketing access broadband equipment for copper and fiber networks.",Information Technology,Communications and Networking,Connectivity Products,"Connectivity Products*, Other Communications and Networking, Wireless Communications Equipment","Cybersecurity, Internet of Things, Manufacturing, TMT","endpoint security, enterprise networking, fiber networking, fiber networking software, iot network and devices platform, iot network infrastructure, iot security, iot/ot security, networking equipment, networking service, ot security",Formerly VC-backed,189.61,Generating Revenue/Not Profitable,Publicly Held,"Debt Financed, Publicly Listed, Venture Capital",49,NAS,ASNS,1998,2025-04-26,,United States,"Fremont, CA",67.53,2022-05-13,IPO,2023-12-20,1.5,Estimated,,,PIPE,,Corporate,2023-12-20,Completed,,,1999-07-06,6.8,Actual,Early Stage VC,15.3,Actual,Series A1,Venture Capital,Completed,,7.76,0.3842,-4.37,-0.62,6.21,4.27,7.73,-3.73,-3.76,111,29,56,3,52,52,"Coding, Telephonic communication, Transmission, Transmission of digital information",,,1,Tokarz Group,"The company (NAS: ASNS) received an estimated $1.5 million of development capital from undisclosed investors on December 20, 2023 through a private placement. The company intends to use the net proceeds from the offering for working capital and general corporate purposes.","Adams Street Partners, Amos Ben-Meir, Anschutz Investment, Argo Group International Holdings, ATA Ventures, Draper Fisher Jurvetson Management, DuPont Capital Management, Global Catalyst Partners Japan, Individuals' Venture Fund, Innovacom (Paris), MVC Capital BDC, New Enterprise Associates, Saints Capital, Salomon Encore, Seabury Venture Partners, Smac Partners, The Carlyle Group, U.S. Venture Partners, Vertex Ventures Israel, Walden International, Western Technology Investment",
399444-13,Airtouch (TAE: ARTS),Airtouch Solar Ltd,,"Airtouch Solar Ltd provides water-free robotic cleaning solutions for solar PV panels. Its products include Airtouch 3.0, Airtouch 3.0 Portable, Airtouch Tracker, Airtouch IoT System, and others.",Information Technology,Computer Hardware,Other Hardware,Other Hardware*,"CleanTech, Robotics and Drones","automated cleaning, autonomous robotic systems, autonomous robots, cleaning roof, robots cleaners, solar",Corporation,18.0,Generating Revenue,Publicly Held,Publicly Listed,,TAE,ARTS,2016,2024-10-31,,Israel,"Beit Shemesh, Israel",124.0,2021-03-08,IPO,2021-03-08,18.0,Estimated,124.0,Estimated,IPO,,Public Investment,2021-03-08,Completed,,,2021-03-08,18.0,Estimated,IPO,124.0,Estimated,,Public Investment,Completed,,0.2,,,,9.86,,,,,13,5,6,3,4,4,"Cleaning in general, Generation of electric power by conversion of infrared radiation, visible light or ultraviolet light",,,,,"The company raised $18 million in its initial public offering on the Tel Aviv Stock Exchange under the ticker symbol of ARTS on March 8, 2021. After the offering, the company was valued at $124 million.",,
152413-21,Alarum Technologies (TAE: ALAR),Alarum Technologies Ltd.,"Distil Networks, SonicWall, F-Secure, RiskIQ, OneSpan, Clavister Holding, Bitglass, Darktrace, Sealpath, Skyhigh Networks, Netskope, Tigera, WatchGuard Technologies, Anonos, Cloudflare, Barracuda Networks, Nagios, Ethyca, vArmour, Imperva, SecureAuth, Cisco Systems, PureSec, Ground Labs, Excite Technology Services, GFI USA, Forcepoint, Tenable, TIBCO Software, Gemalto, Fasoo, Axonius, Pulse Secure, NSFOCUS, Check Point Software Technologies, SECUDE, Deny-All, Zscaler, FilmTrack, Aruba Networks, Attivo Networks, Rubrik, SolarWinds, Portnox","Alarum Technologies Ltd is a software-as-a-service (SaaS) provider operating mainly in the web data collection market, offering web data collection and a private internet browsing platform. The company's Web Data Collection products offer secure, fast, and anonymous IP Proxy Network Solutions & Services, or IPPN or IPPN Solutions, to its business customers which, in turn, enables them to anonymously and securely browse the internet as well as to collect data from any publicly available source on the web, for their business purpose. The company operates in one segment, which is web data collection. Geographically, it derives maximum revenue from United Arab Emirates, followed by China, the United States, Europe, Asia-Pacific, U.K. Virgin Islands, Middle East and Africa, and other regions.",Information Technology,Software,Network Management Software,"Business/Productivity Software, Network Management Software*","FinTech, TMT","company data security, cyber protection, data exfiltration, data security, data security tool, fraud prevention, identity & access management, identity and access management, manufacturing",Formerly Angel backed,61.46,Profitable,Publicly Held,"Pre-venture, Publicly Listed",65,TAE,ALAR,,2025-04-26,,Israel,"Tel Aviv, Israel",,,,2023-09-14,4.25,Actual,,,PIPE,,Corporate,2023-09-14,Completed,,,2007-01-01,5.0,Actual,Angel (individual),,,Angel (individual),Individual,Completed,,31.82,0.2,5.78,-13.49,51.88,23.91,56.11,7.51,6.6,1,1,,,1,1,,,,,,"The company (TAE:ALAR) received $4.25 million of development capital from undisclosed investors on September 14, 2023 through a private placement. The company intends to use the net proceeds from the private placement predominantly to support and strengthen its balance sheet, as well as for other corporate purposes.",Kibbutz Sasa Holdings,
55795-69,Albaad Massuot Yitzhak (TAE: ALBA),Albaad Massuot Yitzhak Ltd.,,"Albaad Massuot Yitzhak Ltd is engaged in the manufacturing of hygiene products such as wipes and sanitary products. Its products include cleansing wipes and pads, self-tan flick, makeup removal, natural radiance wipes, sunscreen wipes, moist toilet tissue, intimate wipes and personal care products, among others.",Consumer Products and Services (B2C),Consumer Non-Durables,Personal Products,Personal Products*,Manufacturing,"baby wipes, car wipes, dairy wipes, manufacturing, skin wipes, wet wipes",Corporation,,Profitable,Publicly Held,Publicly Listed,1996,TAE,ALBA,1985,2025-04-08,,Israel,"Massuot Yitzhak, Israel",,,,1994-01-01,,,,,IPO,,Public Investment,1994-01-01,Completed,,,1994-01-01,,,IPO,,,,Public Investment,Completed,,461.18,0.0054,12.04,188.28,95.23,93.3,294.48,51.58,28.27,,,,,,,,,,,,,,
56012-14,Alcobra,Alcobra Ltd,"Inspirion Delivery Sciences, BioDelivery Sciences International, Marinus Pharmaceuticals, H. Lundbeck, Promentis Pharmaceuticals, Tris Pharma, Spinifex Pharmaceuticals, Enzon Pharmaceuticals, Confluence Pharmaceuticals, Nektar Therapeutics, Purdue Pharma, Alphora Research, Johnson&Johnson Innovative Medicine, TauRx Pharmaceuticals, Intellipharmaceutics International, Opiant Pharmaceuticals, Acura Pharmaceuticals, Bristol-Myers Squibb, Vertex Pharmaceuticals, Otsuka Holdings, Collegium Pharmaceutical, AgeneBio, Sunovion Pharmaceuticals, Alkermes, Allergan, Avalo Therapeutics, Cognition Therapeutics",Developer of a proprietary drug for disabled care patients intended to become a leading global player in the pharmaceutical industry through disruptive efficiency and innovation. The company's pharmaceutical operations are focused on the development of new medications to help patients with cognitive disorders including Attention Deficit Hyperactivity Disorder (ADHD) and Fragile X Syndrome.,Healthcare,Pharmaceuticals and Biotechnology,Pharmaceuticals,"Drug Discovery, Pharmaceuticals*",,"cognitive dysfunction, hyperactivity disorder, medication, pharmaceutical",Corporate Backed or Acquired,58.0,Clinical Trials - Phase 2,Acquired/Merged,"M&A, Publicly Listed, Venture Capital",27,,,2008,2025-03-19,,Israel,"Tel Aviv, Israel",46.7,2017-11-16,Merger/Acquisition,2017-11-16,46.7,Actual,46.7,,Merger/Acquisition,,Corporate,2017-11-16,Completed,,,2013-05-22,25.0,Actual,IPO,89.02,Estimated,,Public Investment,Completed,,,,,,,,,,,,,,,,,,8,Arcturus Therapeutics,,,"The company was acquired by Arcturus Therapeutics for $46.7 million through a reverse merger, resulting in the combined entity trading on the NASDAQ Stock Exchange under the ticker symbol ARCT on November 16, 2017. The company is no longer actively tracked by PitchBook.","Brosh Capital Partners, Hadasit Bio-Holdings, Knoll Capital Management",
140120-92,Algomizer (TAE: GIX),Algomizer Ltd.,"WEB, Automattic","Gix Internet Ltd is a MarTech (Marketing Technology) solutions provider, mainly for online performance-based-marketing, that maximizes exposure, increases impact and drives profits from target audiences. Gix's products provide clear growth opportunities and success, through various technologies, in this challenging and dynamic market.",Information Technology,IT Services,IT Consulting and Outsourcing,IT Consulting and Outsourcing*,"AdTech, Marketing Tech, Mobile, TMT","algorithmic tools, marketing technology software, marketing technology solutions, online marketing firm, online marketing service, optimization software",Corporate Backed or Acquired,5.0,Generating Revenue,Publicly Held,"M&A, Publicly Listed",23,TAE,GIX,1978,2025-01-17,Discount Investment,Israel,"Petah Tikva, Israel",27.93,2019-06-20,PIPE,2020-10-14,,,,,PIPE,,Corporate,2020-10-14,Completed,,,2002-08-12,,,IPO,,,,Public Investment,Completed,,,,,,1.37,,,,,,,,,,,,,Discount Investment,1,Xylo Technologies,"Medigus acquired a 15% stake in the company (TAE: GIX) on October 14, 2020 through a private placement.",,
58953-34,AllMeD Solutions (TAE: ALMD),AllMeD Solutions Ltd.,,"Allmed Solutions Ltd develops, manufactures and markets minimally invasive products internationally in various medical disciplines.",Healthcare,Healthcare Devices and Supplies,Therapeutic Devices,"Diagnostic Equipment, Surgical Devices, Therapeutic Devices*",Manufacturing,"health care devices, healthcare device, medical device, medical equipment, medical product, stent, therapeutic device",Corporation,3.46,Generating Revenue,Publicly Held,"Publicly Listed, Venture Capital",19,TAE,ALMD,2001,2025-02-03,,Israel,"Caesarea, Israel",,,,2023-01-04,3.46,Estimated,,,PIPE,,Corporate,2023-01-04,Completed,,,,,,Accelerator/Incubator,,,,Other,Completed,,0.0,0.0,-2.35,-11.65,9.69,,-2.33,-2.75,-2.9,31,7,16,,15,15,"Filters implantable into blood vessels, Shaping or joining of plastics",,,2,"Gefen Biomed Investments, HekaBio","The company (TAE: ALMD) received ILS 12 million of development capital from Dr. David Milch and other undisclosed investors on January 4, 2023, through a private placement. The company's chairman, Dr. David Milch, invested over NIS 3.5 million. The proceeds from the placement, together with the present cash balance and expected future considerations from prior strategic transactions substantially enhance the company's financial stability and will enable the company to support its subsidiaries and achieve its goals. Previously, the company (TAE: ALMD) received an undisclosed amount of development capital from HekaBio and other undisclosed investors on December 1, 2022, through a private placement.",Biomedix Incubator,
41626-36,Allot Communications (NAS: ALLT),Allot Ltd.,"Infinera, Elitecore Technologies, AppLogic Networks, NEC (Japan), Sandvine (Internet Service Providers), Bear-Line, Vanrise, Aptilo Networks, Adtran, Juniper Networks, Celtro Communication, Blackberry, Cellwize","Allot Ltd is a provider of network intelligence and security solutions for service providers and enterprises. The company's solutions are deployed globally for network and application analytics, traffic control and shaping, and network-based security services. The firm's multi-service platforms are deployed by mobile, fixed, and cloud service providers and enterprises. The company has a customer base in Europe, Asia and Oceania, the Americas, the Middle East, and Africa.",Information Technology,Computer Hardware,"Computers, Parts and Peripherals","Computers, Parts and Peripherals*, Internet Service Providers",TMT,"broadband service, broadband service optimization, internet protocol service",Formerly VC-backed,194.38,Generating Revenue/Not Profitable,Publicly Held,"M&A, Publicly Listed, Venture Capital",495,NAS,ALLT,1996,2025-04-26,,Israel,"Hod HaSharon, Israel",426.41,2011-11-09,Public Investment 2nd Offering,2016-06-16,,,,,Merger/Acquisition,,Corporate,2016-06-16,Failed/Cancelled,,,,30.0,Actual,Later Stage VC,,,,Venture Capital,Completed,,92.2,-0.0103,-5.87,-11.52,238.55,63.69,226.54,-0.45,-6.67,134,40,103,2,29,29,"Pictorial communication, Telephonic communication, Transmission of digital information, Wireless communication networks",,,,,"The company (NAS: ALLT) was in talks to be acquired by BlackBerry on June 16, 2016. Subsequently, the deal was cancelled. Previously, The company raised $90.13 million in a secondary public offering on the NASDAQ stock exchange under the ticker symbol of ALLT in November 2011.","BancBoston Ventures, DFJ Tamir Fishman, Gemini Israel Ventures, Genesis Partners, Jafco Investment (Asia Pacific), Jerusalem Venture Partners, Partech, Tamar Ventures, Walden Israel Venture Capital",Blackberry
